City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Banda Aceh,ID,86.45,scattered clouds,5.5577,95.3222,Sulthan Hotel International
1,Hobyo,SO,77.59,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
6,Asfi,MA,63.03,overcast clouds,32.2994,-9.2372,Hôtel Abda
9,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Atuona,PF,78.57,clear sky,-9.8,-139.0333,Villa Enata
15,Bubaque,GW,76.87,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
20,Puerto Ayora,EC,74.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Coahuayana,MX,66.87,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
23,Ponta Do Sol,PT,67.01,few clouds,32.6667,-17.1,Hotel do Campo
28,Sao Filipe,CV,72.43,clear sky,14.8961,-24.4956,Hotel Xaguate
33,Santa Cruz,BO,76.46,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
40,Hilton Head Island,US,66.25,few clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
41,Kavieng,PG,83.8,broken clouds,-2.5744,150.7967,Nusa Island Retreat
44,Chepareria,KE,65.35,overcast clouds,1.3077,35.2039,Hamza Lodge
46,San Policarpo,PH,75.47,overcast clouds,12.1791,125.5072,Agapita M. Nicart
50,Mayumba,GA,74.84,overcast clouds,-3.432,10.6554,LIKWALE LODGE
54,Bathsheba,BB,75.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
55,Labuan,MY,87.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
58,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
59,Save,BJ,74.07,clear sky,8.0425,2.486,Le Cercle du Rail
66,Hilo,US,73.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
