City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Banda Aceh,ID,5.5577,95.3222,86.45,62,50,10.13,scattered clouds
1,Hobyo,SO,5.3505,48.5268,77.59,66,69,18.63,broken clouds
2,Upernavik,GL,72.7868,-56.1549,5.72,70,100,3.71,overcast clouds
3,Qaanaaq,GL,77.484,-69.3632,-12.28,53,99,8.75,overcast clouds
4,Bethel,US,41.3712,-73.414,49.93,93,100,8.05,light rain
5,Dikson,RU,73.5069,80.5464,-8.91,95,100,3.71,overcast clouds
6,Asfi,MA,32.2994,-9.2372,63.03,48,100,10.83,overcast clouds
7,Barrow,US,71.2906,-156.7887,-27.38,75,40,4.61,haze
8,Saint George,US,37.1041,-113.5841,39.79,34,0,3.0,clear sky
9,Kapaa,US,22.0752,-159.319,75.18,72,0,5.75,clear sky
10,Skowhegan,US,44.7651,-69.7192,34.36,96,100,9.08,snow
11,Yerbogachen,RU,61.2767,108.0108,11.77,94,100,5.41,light snow
12,Atuona,PF,-9.8,-139.0333,78.57,74,2,18.57,clear sky
13,Pacific Grove,US,36.6177,-121.9166,53.76,85,0,1.99,clear sky
14,Gat,IL,31.61,34.7642,52.39,3,10,15.37,clear sky
15,Bubaque,GW,11.2833,-15.8333,76.87,70,0,8.95,clear sky
16,Longyearbyen,SJ,78.2186,15.6401,12.0,92,92,5.95,overcast clouds
17,Tura,IN,25.5198,90.2201,56.34,93,100,2.95,overcast clouds
18,Kozhanka,UA,49.9793,29.7381,19.06,97,43,6.15,scattered clouds
19,Nara,JP,34.6851,135.8049,49.96,38,46,10.36,scattered clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,74.55,93,7,1.99,clear sky
21,Coahuayana,MX,18.7333,-103.6833,66.87,76,39,3.94,scattered clouds
22,Ribeira Grande,PT,38.5167,-28.7,58.37,76,100,17.63,overcast clouds
23,Ponta Do Sol,PT,32.6667,-17.1,67.01,71,16,2.71,few clouds
24,Fairbanks,US,64.8378,-147.7164,1.74,56,40,9.22,scattered clouds
25,Norman Wells,CA,65.282,-126.8329,-45.36,66,20,0.0,few clouds
26,Remerschen,LU,49.4886,6.3517,43.95,100,75,8.05,mist
27,Alekseyevka,RU,50.6309,38.6903,23.16,97,98,6.38,overcast clouds
28,Sao Filipe,CV,14.8961,-24.4956,72.43,75,0,6.51,clear sky
29,Yellowknife,CA,62.456,-114.3525,-28.68,68,0,5.75,clear sky
30,Khatanga,RU,71.9667,102.5,-31.47,100,90,4.21,overcast clouds
31,Vostok,RU,46.4856,135.8833,2.37,85,99,6.58,overcast clouds
32,Chokurdakh,RU,70.6333,147.9167,-28.03,100,52,1.19,broken clouds
33,Santa Cruz,BO,-17.8,-63.1667,76.46,94,20,10.36,few clouds
34,Sabha,LY,27.0377,14.4283,45.0,72,0,8.99,clear sky
35,Aksarka,RU,66.5606,67.7975,-8.95,100,99,0.83,overcast clouds
36,Saskylakh,RU,71.9167,114.0833,-12.77,98,100,2.13,overcast clouds
37,Alvand,IR,36.3187,49.1678,31.26,68,3,5.7,clear sky
38,Verkhnevilyuysk,RU,63.4453,120.3167,-13.09,94,66,3.44,broken clouds
39,Lovozero,RU,68.005,35.0117,-3.19,93,89,3.06,overcast clouds
40,Hilton Head Island,US,32.2163,-80.7526,66.25,92,20,9.22,few clouds
41,Kavieng,PG,-2.5744,150.7967,83.8,71,63,8.12,broken clouds
42,Airai,TL,-8.9266,125.4092,73.78,61,77,5.14,broken clouds
43,Tiksi,RU,71.6872,128.8694,-11.78,100,100,5.41,overcast clouds
44,Chepareria,KE,1.3077,35.2039,65.35,58,96,3.06,overcast clouds
45,Mahon,ES,39.8885,4.2658,45.16,100,0,0.0,clear sky
46,San Policarpo,PH,12.1791,125.5072,75.47,85,100,7.74,overcast clouds
47,Tasiilaq,GL,65.6145,-37.6368,12.36,57,86,5.37,overcast clouds
48,Cherskiy,RU,68.75,161.3,-31.38,99,12,2.15,few clouds
49,Pevek,RU,69.7008,170.3133,-20.69,100,28,1.74,scattered clouds
50,Mayumba,GA,-3.432,10.6554,74.84,89,100,3.22,overcast clouds
51,Narsaq,GL,60.9167,-46.05,25.02,95,100,9.46,snow
52,Hun,LY,29.1268,15.9477,44.96,85,0,4.14,clear sky
53,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,40,8.05,scattered clouds
54,Bathsheba,BB,13.2167,-59.5167,75.81,73,40,11.5,scattered clouds
55,Labuan,MY,5.2767,115.2417,87.96,70,20,7.0,few clouds
56,Katsuura,JP,35.1333,140.3,44.64,75,100,9.53,overcast clouds
57,Hofn,IS,64.2539,-15.2082,30.2,55,100,15.95,overcast clouds
58,Port Blair,IN,11.6667,92.75,82.44,69,20,11.5,mist
59,Save,BJ,8.0425,2.486,74.07,57,0,1.92,clear sky
60,Arlit,NE,18.7369,7.3853,52.54,21,3,5.61,clear sky
61,Bestobe,KZ,52.4994,73.0975,11.37,78,46,11.92,scattered clouds
62,Kamenka,RU,51.3223,42.7678,26.74,97,100,9.53,overcast clouds
63,San Quintin,MX,30.4833,-115.95,55.51,65,0,4.41,clear sky
64,Lagoa,PT,39.05,-27.9833,57.6,77,100,10.8,overcast clouds
65,Tarcau,RO,46.8667,26.1333,18.16,93,33,5.59,scattered clouds
66,Hilo,US,19.7297,-155.09,73.13,83,100,5.75,overcast clouds
67,Nikolskoye,RU,59.7035,30.7861,-0.09,100,100,3.02,overcast clouds
68,Cabo San Lucas,MX,22.8909,-109.9124,66.51,58,34,5.75,scattered clouds
69,Husavik,IS,66.0449,-17.3389,22.91,77,100,20.4,snow
70,Sept-Iles,CA,50.2001,-66.3821,1.92,55,100,5.75,overcast clouds
71,Namanyere,TZ,-7.5167,31.05,59.95,95,100,2.62,overcast clouds
72,Barcelos,PT,41.5388,-8.6151,51.94,77,100,1.03,overcast clouds
73,Sistranda,NO,63.7256,8.834,34.9,95,100,22.7,overcast clouds
74,Kodiak,US,57.79,-152.4072,36.91,87,100,18.41,overcast clouds
75,Yaan,NG,7.3833,8.5667,73.83,14,6,7.83,clear sky
76,Afsin,TR,38.2477,36.914,27.48,98,100,1.14,overcast clouds
77,Borazjan,IR,29.2666,51.2159,56.53,40,0,2.1,clear sky
78,Paracuru,BR,-3.41,-39.0306,82.42,87,46,7.31,scattered clouds
79,Nichinan,JP,31.6,131.3667,53.87,41,28,3.31,scattered clouds
80,Gigmoto,PH,13.7796,124.39,77.95,89,100,9.44,moderate rain
81,Shingu,JP,33.7333,135.9833,49.19,34,36,11.88,scattered clouds
82,Sangar,RU,63.9242,127.4739,-19.05,94,99,4.34,overcast clouds
83,Nouadhibou,MR,20.931,-17.0347,66.18,48,18,6.91,few clouds
84,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,80,97,11.61,overcast clouds
85,Dongsheng,CN,39.8161,109.9776,16.23,40,0,13.71,clear sky
86,Xinan,CN,26.72,119.8556,48.63,83,100,3.09,overcast clouds
87,Voi,KE,-3.3945,38.563,74.01,79,98,4.74,overcast clouds
88,Aklavik,CA,68.2191,-135.0107,-21.17,98,18,8.86,few clouds
89,Dvinskoy,RU,62.1535,45.1175,-10.68,100,99,0.78,overcast clouds
90,Severo-Kurilsk,RU,50.6789,156.125,30.74,87,100,9.01,light snow
91,Lorengau,PG,-2.0226,147.2712,84.27,61,100,9.22,overcast clouds
92,Taoudenni,ML,22.6783,-3.9836,60.03,21,23,9.19,few clouds
93,Georgetown,MY,5.4112,100.3354,89.55,70,20,3.0,few clouds
94,Kajaani,FI,64.2273,27.7285,-2.15,84,100,3.44,overcast clouds
95,Vanimo,PG,-2.6741,141.3028,85.26,64,54,5.88,broken clouds
96,Victoria,HK,22.2855,114.1577,64.18,72,64,3.0,broken clouds
97,Aquin,HT,18.2833,-73.4,74.39,81,0,3.38,clear sky
98,Itoman,JP,26.1247,127.6694,64.42,77,75,23.02,broken clouds
99,Marsh Harbour,BS,26.5412,-77.0636,73.89,59,38,16.87,scattered clouds
100,Meulaboh,ID,4.1363,96.1285,84.69,64,84,4.79,broken clouds
101,Buala,SB,-8.145,159.5921,78.96,87,100,5.91,light rain
102,Khasan,RU,42.4308,130.6434,20.34,43,12,20.96,few clouds
103,Ilulissat,GL,69.2167,-51.1,19.42,79,100,13.8,light snow
104,Dzilam Gonzalez,MX,21.2833,-88.9333,72.81,89,0,7.11,clear sky
105,Nanortalik,GL,60.1432,-45.2371,26.01,93,100,18.07,snow
106,Oussouye,SN,12.485,-16.5469,69.3,68,0,5.23,clear sky
107,Gosainganj,IN,26.5833,82.3833,63.95,72,16,16.08,few clouds
108,Cam Ranh,VN,11.9214,109.1591,78.76,69,40,17.27,scattered clouds
109,Two Rivers,US,44.1539,-87.5693,12.69,70,100,3.0,overcast clouds
110,Sitka,US,57.0531,-135.33,46.29,76,100,23.02,moderate rain
111,Sobolevo,RU,54.4299,31.8996,1.71,100,95,5.48,overcast clouds
112,Shaunavon,CA,49.6501,-108.4181,-2.42,100,100,3.65,overcast clouds
113,Tombouctou,ML,20.0,-3.0,59.47,14,0,10.87,clear sky
114,Kutum,SD,14.2,24.6667,53.94,21,7,15.14,clear sky
115,Fallon,US,39.4735,-118.7774,30.92,53,0,1.59,clear sky
116,Kahului,US,20.8947,-156.47,75.22,70,0,12.66,clear sky
117,Zhanakorgan,KZ,43.9098,67.2495,33.84,64,13,4.65,few clouds
118,Inuvik,CA,68.3499,-133.7218,-17.39,72,20,2.3,few clouds
119,Beyneu,KZ,45.3167,55.2,37.74,70,100,22.08,overcast clouds
120,Muros,ES,42.7762,-9.0603,53.24,95,100,5.99,overcast clouds
121,Hambantota,LK,6.1241,81.1185,82.74,83,20,6.91,few clouds
122,Berbera,SO,10.4396,45.0143,74.61,62,2,2.91,clear sky
123,Boddam,GB,57.4667,-1.7833,37.38,71,24,19.19,few clouds
124,Eyl,SO,7.9803,49.8164,74.48,62,1,14.45,clear sky
125,Riyadh,SA,24.6877,46.7219,57.25,41,0,5.75,clear sky
126,Valle De Allende,MX,26.9333,-105.4,40.37,57,0,8.08,clear sky
127,Mogocha,RU,53.7333,119.7667,6.42,56,77,6.8,broken clouds
128,Provideniya,RU,64.3833,-173.3,1.44,60,5,21.68,clear sky
129,Cayenne,GF,4.9333,-52.3333,79.09,89,100,1.99,overcast clouds
130,Raska,RS,43.2872,20.6153,24.31,93,100,2.46,overcast clouds
131,Takoradi,GH,4.8845,-1.7554,78.13,84,2,5.28,clear sky
132,Durant,US,33.994,-96.3708,23.16,82,100,10.36,overcast clouds
133,Codrington,AU,-38.2667,141.9667,65.48,66,74,16.78,broken clouds
134,Urumqi,CN,43.801,87.6005,0.55,85,75,2.24,fog
135,Dingle,PH,10.9995,122.6711,80.46,79,88,14.92,overcast clouds
136,Bay Roberts,CA,47.5999,-53.2648,40.33,90,100,7.0,light rain
137,Touros,BR,-5.1989,-35.4608,79.7,76,49,12.71,scattered clouds
138,Sorland,NO,67.667,12.6934,24.55,95,100,31.5,light snow
139,Brae,GB,60.3964,-1.353,37.31,59,87,34.02,overcast clouds
140,Praia,CV,14.9215,-23.5087,70.34,78,0,9.22,clear sky
141,Manokwari,ID,-0.8667,134.0833,81.7,75,91,4.85,overcast clouds
142,Carutapera,BR,-1.195,-46.02,76.33,89,100,6.29,overcast clouds
143,Altay,CN,47.8667,88.1167,13.3,69,5,1.48,clear sky
144,Puerto Del Rosario,ES,28.5004,-13.8627,67.68,52,99,5.75,overcast clouds
145,Hithadhoo,MV,-0.6,73.0833,81.88,74,100,10.87,overcast clouds
146,Siuna,NI,13.7332,-84.7773,67.46,95,3,2.33,clear sky
147,Marsa Matruh,EG,31.3525,27.2453,56.21,63,85,30.2,overcast clouds
148,Havre-Saint-Pierre,CA,50.2334,-63.5986,9.19,66,100,13.8,overcast clouds
149,Gusau,NG,12.1628,6.6614,59.16,19,0,16.24,clear sky
